五都改制對照表在:,http://www.moi.gov.tw/chi/chi_news/news_detail.aspx?sn=4547&type_code=01,,,,,'日期（民國年被翻成西元年，應修正）,
county,town,vid,action,old,new,date,其他備註
臺南市,安平區,1002107-006,刪,"文朱里
（併入海頭里）",　,,
臺南市,安平區,1002107-007,刪,"海興里
（併入海頭里）",　,,
臺南市,安平區,1002107-008,刪,"安中里
（併入海頭里）",　,,
臺南市,安平區,1002107-019,增,　,"海頭里
（由文朱里、海興里及安中里合併）",,
臺南市,安平區,1002107-020,增,　,"港仔里
（由妙壽里、菩薩里及校前里合併）",,
臺南市,安平區,1002107-021,增,　,"平安里
（由石門里分割）",,
臺北市,大安區,6300300-042,刪,"農場里
（併入學府里）",　,37500,
臺北市,大安區,6300300-045,刪,"青峰里
（併入學府里）",　,,
臺北市,大安區,6300300-057,增,　,"學府里
（由農場里及青峰里合併）",,
臺北市,中山區,6300400-041,增,　,"金泰里
（由成功里分割）",,
臺北市,中山區,6300400-042,增,　,"北安里
（由成功里分割）",,
臺北市,大同區,6300600-023,刪,"文昌里
（併入老師里）",　,,
臺北市,文山區,6300800-038,增,　,"忠順里
（由順興里分割）",,
臺北市,文山區,6300800-039,增,　,"萬美里
（由萬芳里分割）",,
臺北市,南港區,6300900-019,增,　,"仁福里
（由成福里分割）",,
臺北市,內湖區,6301000-031,增,　,"安湖里
（由東湖里分割）",,
臺北市,內湖區,6301000-032,增,　,"秀湖里
（由大湖里分割）",,
臺北市,內湖區,6301000-033,增,　,"安泰里
（由內溝里分割）",,
臺北市,內湖區,6301000-034,增,　,"金湖里
（由葫洲里分割）",,
臺北市,內湖區,6301000-035,增,　,"康寧里
（由葫洲里分割）",,
臺北市,內湖區,6301000-036,增,　,"明湖里
（由葫洲里分割）",,
臺北市,內湖區,6301000-037,增,　,"蘆洲里
（由葫洲里分割）",,
臺北市,內湖區,6301000-038,增,　,"麗山里
（由港都里分割）",,
臺北市,士林區,6301100-051,增,　,"臨溪里
（由翠山里分割）",,
臺北市,北投區,6301200-041,增,　,"大屯里
（由中和里分割）",,
臺北市,北投區,6301200-042,增,　,"湖田里
（由湖山里分割）",,
高雄市,左營區,6400300-010,刪,"海光里
（併入尾北里）",　,,
臺北縣,土城市,1000113-041,增,　,"中正里
（由柑林里分割）",37130,
臺北縣,土城市,1000113-042,增,　,"學士里
（由柑林里分割）",,
臺北縣,土城市,1000113-043,增,　,"明德里
（由柑林里分割）",,
臺北縣,土城市,1000113-044,增,　,"廣興里
（由埤林里分割）",,
臺北縣,土城市,1000113-045,增,　,"青山里
（由清水里分割）",,
臺北縣,土城市,1000113-046,增,　,"金城里
（由廷寮里分割）",,
臺北縣,土城市,1000113-047,增,　,"延祿里
（由延壽里分割）",,
新竹縣,竹北市,1000401-024,增,　,"北崙里
（由斗崙里分割）",37165,
新竹縣,竹北市,1000401-025,增,　,"新崙里
（由斗崙里分割）",,
新竹縣,竹北市,1000401-026,增,　,"福德里
（由竹義里分割）",,
新竹縣,湖口鄉,1000405-017,增,　,"信義村
（由信勢村分割）",,
新竹縣,湖口鄉,1000405-018,增,　,"中正村
（由中勢村分割）",,
新竹縣,湖口鄉,1000405-019,增,　,"東興村
（由和興村分割）",,
新竹縣,湖口鄉,1000405-020,增,　,"勝利村
（由鳳凰村分割）",,
南投縣,仁愛鄉,1000813-015,增,　,"翠華村
（由力行村分割）",37104,
宜蘭縣,頭城鎮,1000204-024,增,　,"龜山里
（由大溪里分割）",89.8-90.7,=======以下時間為範圍，需取得確切生效時間
宜蘭縣,壯圍鄉,1000206-014,增,　,"古結村
（由吉祥村分割）",89.8-90.7,
苗栗縣,公館鄉,1000509-012,修,五穀村,五谷村,89.8-90.7,
苗栗縣,公館鄉,1000509-013,修,玉穀村,玉谷村,89.8-90.7,
苗栗縣,三義鄉,1000513-002,修,雙湖村,双湖村,89.8-90.7,
苗栗縣,三義鄉,1000513-003,修,雙潭村,双潭村,89.8-90.7,
嘉義縣,東石鄉,1001009-010,修,下楫村,下揖村,89.8-90.7,
嘉義縣,東石鄉,1001009-011,修,頂楫村,頂揖村,89.8-90.7,
臺南縣,歸仁鄉,1001128-020,增,　,"歸南村
（由六甲村分割）",89.8-90.7,
臺南縣,歸仁鄉,1001128-021,增,　,"文化村
（由後市村分割）",89.8-90.7,
苗栗縣,公館鄉,1000509-012,修,五谷村,五穀村,88.6-89.7,
苗栗縣,公館鄉,1000509-013,修,玉谷村,玉穀村,88.6-89.7,
苗栗縣,三義鄉,1000513-002,修,双湖村,雙湖村,88.6-89.7,
苗栗縣,三義鄉,1000513-003,修,双潭村,雙潭村,88.6-89.7,
雲林縣,北港鎮,1000906-011,修,公館里,公舘里,88.6-89.7,
嘉義縣,東石鄉,1001009-010,修,下揖村,下楫村,88.6-89.7,
嘉義縣,東石鄉,1001009-011,修,頂揖村,頂楫村,88.6-89.7,
臺南縣,歸仁鄉,1001128-019,增,,"新厝村
(由辜厝村分割)",88.6-89.7,註1：金門縣金城鎮、金沙鎮及金湖鎮所轄村里配合地方制度法第三條第四項皆修正為里。
屏東縣,東港鎮,1001303-005,修,興臺里,興台里,88.6-89.7,註2：臺北縣汐止鎮自88年6月28日起改制為縣轄市。
屏東縣,滿洲鄉,1001324-005,修,響林村,响林村,88.6-89.7,註3：臺北縣樹林鎮自88年10月4日起改制為縣轄市。
連江縣,南竿鄉,0900701-003,修,經澤村,福沃村," 87.5-88.5",
臺北縣,三重市,1000102-092,修,永輝里,永煇里," 87.5-88.5",
臺南縣,麻豆鎮,1001107-004,修,晉江里,晋江里," 87.5-88.5",
高雄縣,桃源鄉,1001226-007,修,樟山村,梅蘭村," 87.5-88.5",
金門縣,烈嶼鄉,0902005-001,修,上歧村,上岐村,86.5-87.4,臺北縣蘆洲鄉自86年10月6日起改制為縣轄市。
臺北縣,三重市,1000102-117,增,,"福樂里
(由福隆里分割)",86.5-87.4,
臺北縣,三重市,1000102-118,增,,"仁華里
(由碧華里分割)",86.5-87.4,
臺北縣,三重市,1000102-119,增,,"五順里
(由五常里分割)",,
臺北縣,永和市,1000104-059,增,,"民富里
(由民本里分割)",,
臺北縣,永和市,1000104-060,增,,"秀元里
(由秀得里分割)",,
臺北縣,永和市,1000104-061,增,,"永樂里
(由永安里分割)",,
臺北縣,永和市,1000104-062,增,,"保順里
(由保安里分割)",,
臺北縣,新莊市,1000105-073,增,,"福興里
(由福基里分割)",,
臺北縣,新莊市,1000105-074,增,,"昌信里
(由昌明里分割)",,
臺北縣,新莊市,1000105-075,增,,"昌隆里
(由昌平里分割)",,
臺北縣,新莊市,1000105-076,增,,"中平里
(由中信里分割)",,
臺北縣,新莊市,1000105-077,增,,"立廷里
(由立基里分割)",,
臺北縣,新莊市,1000105-078,增,,"泰豐里
(由豐年里分割)",,
臺北縣,新莊市,1000105-079,增,,"富民里
(由富國里分割)",,
臺北縣,新莊市,1000105-080,增,,"龍福里
(由龍鳳里分割)",,
臺北縣,新莊市,1000105-081,增,,"祥鳳里
(由合鳳里分割)",,
臺北縣,新莊市,1000105-082,增,,"民全里
(由民安里分割)",,
臺北縣,新莊市,1000105-083,增,,"民有里
(由民本里分割)",,
臺北縣,新莊市,1000105-084,增,,"光正里
(由光榮里分割)",,
臺北縣,新莊市,1000105-085,增,,"光和里
(由光榮里分割)",,
臺北縣,新店市,1000106-059,增,,"小城里
(由明城里分割)",,
臺北縣,新店市,1000106-060,增,,"香坡里
(由雙城里分割)",,
臺北縣,新店市,1000106-061,增,,"建國里
(由仁愛里分割)",,
臺北縣,新店市,1000106-062,增,,"復興里
(由江陵里分割)",,
臺北縣,新店市,1000106-063,增,,"美城里
(由太平里分割)",,
臺北縣,新店市,1000106-064,增,,"安昌里
(由公崙里分割)",,
臺北縣,新店市,1000106-065,增,,"長春里
(由五峰里分割)",,
臺北縣,新店市,1000106-066,增,,"新和里
(由永安里分割)",,
臺北縣,新店市,1000106-067,增,,"永平里
(由永安里分割)",,
臺北縣,樹林鎮,1000107-039,增,,"中華里
(由大同里分割)",,
臺北縣,樹林鎮,1000107-040,增,,"太順里
(由大同里分割)",,
臺北縣,樹林鎮,1000107-041,增,,"圳民里
(由圳安里分割)",,
臺北縣,樹林鎮,1000107-042,增,,"圳生里
(由圳安里分割)",,
臺北縣,樹林鎮,1000107-043,增,,"三龍里
(由三多里分割)",,
臺北縣,三峽鎮,1000109-026,增,,"二鬮里
(由大埔里分割)",,
臺北縣,汐止鎮,1000111-033,增,,"金龍里
(由北峰里分割)",,
臺北縣,汐止鎮,1000111-034,增,,"福德里
(由中興里分割)",,
臺北縣,汐止鎮,1000111-035,增,,"興福里
(由中興里分割)",,
臺北縣,汐止鎮,1000111-036,增,,"康福里
(由中興里分割)",,
臺北縣,汐止鎮,1000111-037,增,,"忠山里
(由北山里分割)",,
臺北縣,汐止鎮,1000111-038,增,,"環河里
(由北山里分割)",,
臺北縣,汐止鎮,1000111-039,增,,"東勢里
(由宜興里分割)",,
臺北縣,汐止鎮,1000111-040,增,,"山光里
(由厚德里分割)",,
臺北縣,汐止鎮,1000111-041,增,,"大同里
(由智慧里分割)",,
臺北縣,汐止鎮,1000111-042,增,,"崇德里
(由茄苳里分割)",,
臺北縣,汐止鎮,1000111-043,增,,"湖興里
(由湖光里分割)",,
臺北縣,汐止鎮,1000111-044,增,,"長青里
(由八連里分割)",,
臺北縣,汐止鎮,1000111-045,增,,"福安里
(由新昌里分割)",,
臺北縣,汐止鎮,1000111-046,增,,"秀山里
(由秀峰里分割)",,
臺北縣,瑞芳鎮,1000112-034,增,,"新峰里
(由爪峯里分割)",,
臺北縣,蘆洲市,1000114-037,增,,"成功里
(由永樂里分割)",,
臺北縣,蘆洲市,1000114-038,增,,"永德里
(由永康里分割)",,
臺北縣,五股鄉,1000115-015,增,,"六福村
(由五福村分割)",,
臺北縣,五股鄉,1000115-016,增,,"集賢村
(由集福村分割)",,
臺北縣,五股鄉,1000115-017,增,,"民義村
(由五股村分割)",,
臺北縣,五股鄉,1000115-018,增,,"成泰村
(由成功村分割)",,
臺北縣,五股鄉,1000115-019,增,,"水碓村
(由德音村分割)",,
臺北縣,深坑鄉,1000118-006,增,,"埔新村
(由深坑村分割)",,
臺北縣,深坑鄉,1000118-007,增,,"萬福村
(由萬順村分割)",,
臺北縣,深坑鄉,1000118-008,增,,"賴仲村
(由土庫村分割)",,
臺北縣,石碇鄉,1000119-011,刪,"碧山村
(併入永安村)",,,
臺北縣,萬里鄉,1000128-008,修,崁腳村,崁脚村,,
宜蘭縣,南澳鄉,1000212-002,修,碧侯村,碧候村,,
桃園縣,桃園市,1000301-057,增,,"大有里
(由會稽里分割)",,
桃園縣,桃園市,1000301-058,增,,"寶山里
(由會稽里分割)",,
桃園縣,桃園市,1000301-059,增,,"龍鳳里
(由龍岡里分割)",,
桃園縣,桃園市,1000301-060,增,,"龍安里
(由龍岡里分割)",,
桃園縣,桃園市,1000301-061,增,,"自強里
(由莊敬里分割)",,
桃園縣,桃園市,1000301-062,增,,"中信里
(由中路里分割)",,
桃園縣,桃園市,1000301-063,增,,"長德里
(由長安里分割)",,
桃園縣,桃園市,1000301-064,增,,"中平里
(由中山里分割)",,
桃園縣,桃園市,1000301-065,增,,"中原里
(由中山里分割)",,
桃園縣,桃園市,1000301-066,增,,"中泰里
(由中山里分割)",,
桃園縣,桃園市,1000301-067,增,,"南埔里
(由中埔里分割)",,
桃園縣,桃園市,1000301-068,增,,"寶慶里
(由中埔里分割)",,
桃園縣,桃園市,1000301-069,增,,"北埔里
(由中埔里分割)",,
桃園縣,中壢市,1000302-056,增,,"復華里
(由復興里分割)",,
桃園縣,中壢市,1000302-057,增,,"忠孝里
(由中原里分割)",,
桃園縣,中壢市,1000302-058,增,,"福德里
(由成功里分割)",,
桃園縣,中壢市,1000302-059,增,,"和平里
(由文化里分割)",,
桃園縣,中壢市,1000302-060,增,,"普忠里
(由普仁里分割)",,
桃園縣,中壢市,1000302-061,增,,"普強里
(由普仁里分割)",,
桃園縣,中壢市,1000302-062,增,,"明德里
(由後寮里分割)",,
桃園縣,中壢市,1000302-063,增,,"至善里
(由後寮里分割)",,
桃園縣,中壢市,1000302-064,增,,"五福里
(由五權里分割)",,
桃園縣,中壢市,1000302-065,增,,"龍德里
(由龍興里分割)",,
桃園縣,中壢市,1000302-066,增,,"正義里
(由信義里分割)",,
桃園縣,中壢市,1000302-067,增,,"龍安里
(由龍平里分割)",,
桃園縣,中壢市,1000302-068,增,,"中山里
(由中正里分割)",,
桃園縣,中壢市,1000302-069,增,,"德義里
(由普義里分割)",,
桃園縣,中壢市,1000302-070,增,,"仁義里
(由普義里分割)",,
桃園縣,中壢市,1000302-071,增,,"華勛里
(由仁祥里分割)",,
桃園縣,中壢市,1000302-072,增,,"仁福里
(由仁美里分割)",,
桃園縣,中壢市,1000302-073,增,,"幸福里
(由忠福里分割)",,
桃園縣,中壢市,1000302-074,增,,"永福里
(由忠福里分割)",,
桃園縣,大溪鎮,1000303-023,增,,"光明里
(由員林里分割)",,
桃園縣,大溪鎮,1000303-024,增,,"三元里
(由員林里分割)",,
桃園縣,大溪鎮,1000303-025,增,,"田心里
(由一心里分割)",,
桃園縣,大溪鎮,1000303-026,增,,"仁文里
(由仁武里分割)",,
桃園縣,大溪鎮,1000303-027,增,,"仁和里
(由仁愛里分割)",,
桃園縣,楊梅鎮,1000304-026,增,,"中山里
(由大同里分割)",,
桃園縣,楊梅鎮,1000304-027,增,,"楊明里
(由梅溪里分割)",,
桃園縣,楊梅鎮,1000304-028,增,,"金溪里
(由梅溪里分割)",,
桃園縣,楊梅鎮,1000304-029,增,,"裕成里
(由梅溪里分割)",,
桃園縣,楊梅鎮,1000304-030,增,,"秀才里
(由大平里分割)",,
桃園縣,楊梅鎮,1000304-031,增,,"青山里
(由高山里分割)",,
桃園縣,楊梅鎮,1000304-032,增,,"新榮里
(由高榮里分割)",,
桃園縣,楊梅鎮,1000304-033,增,,"雙榮里
(由高榮里分割)",,
桃園縣,楊梅鎮,1000304-034,增,,"瑞坪里
(由瑞塘里分割)",,
桃園縣,楊梅鎮,1000304-035,增,,"永平里
(由瑞塘里分割)",,
桃園縣,蘆竹鄉,1000305-024,增,,"瓦窯村
(由五福村分割)",,
桃園縣,蘆竹鄉,1000305-025,增,,"營盤村
(由五福村分割)",,
桃園縣,蘆竹鄉,1000305-026,增,,"羊稠村
(由五福村分割)",,
桃園縣,龜山鄉,1000307-020,增,,"文化村
(由公西村分割)",,
桃園縣,龜山鄉,1000307-021,增,,"南美村
(由南上村分割)",,
桃園縣,龜山鄉,1000307-022,增,,"幸福村
(由山福村分割)",,
桃園縣,龜山鄉,1000307-023,增,,"福源村
(由兔坑村分割)",,
桃園縣,龜山鄉,1000307-024,增,,"龍華村
(由龍壽村分割)",,
桃園縣,龜山鄉,1000307-025,增,,"迴龍村
(由龍壽村分割)",,
桃園縣,龜山鄉,1000307-026,增,,"新嶺村
(由嶺頂村分割)",,
桃園縣,八德市,1000308-035,增,,"大慶里
(由大成里分割)",,
桃園縣,八德市,1000308-036,增,,"大千里
(由大勇里分割)",,
桃園縣,八德市,1000308-037,增,,"大榮里
(由大義里分割)",,
桃園縣,八德市,1000308-038,增,,"茄明里
(由茄苳里分割)",,
桃園縣,八德市,1000308-039,增,,"高城里
(由高明里分割)",,
苗栗縣,竹南鎮,1000504-018,修,公館里,公舘里,,
苗栗縣,頭份鎮,1000505-026,增,,"民權里
(由民族里分割)",,
苗栗縣,頭份鎮,1000505-027,增,,"民生里
(由民族里分割)",,
苗栗縣,頭份鎮,1000505-028,增,,"建國里
(由蟠桃里分割)",,
苗栗縣,頭份鎮,1000505-029,增,,"成功里
(由蟠桃里分割)",,
臺中縣,大雅鄉,1000610-010,增,,"二和村
(由三和村分割)",,
臺中縣,大雅鄉,1000610-011,增,,"四德村
(由三和村分割)",,
臺中縣,大雅鄉,1000610-012,增,,"上雅村
(由大雅村分割)",,
臺中縣,大雅鄉,1000610-013,增,,"文雅村
(由大雅村分割)",,
臺中縣,龍井鄉,1000617-016,增,,"東海村
(由新東村分割)",,
彰化縣,彰化市,1000701-071,修,臺鳳里,台鳳里,,
彰化縣,彰化市,1000701-072,增,,"崙平里
(由平和里分割)",,
彰化縣,彰化市,1000701-073,增,,"向陽里
(由平和里分割)",,
彰化縣,鹿港鎮,1000702-029,增,,"永安里
(由埔崙里分割)",,
雲林縣,西螺鎮,1000904-027,修,公館里,公舘里,,
雲林縣,二崙鄉,1000911-005,修,南興村,湳仔村,,
臺南縣,新營市,1001101-027,增,,"新北里
(由民生里分割)",,
臺南縣,新營市,1001101-028,增,,"新南里
(由民生里分割)",,
臺南縣,新化鎮,1001118-016,修,山腳里,山脚里,,
高雄縣,鳳山市,1001201-059,增,,"武松里
（由鎮北里及北門里分割）",,
高雄縣,鳳山市,1001201-060,增,,"文衡里
(由文德里分割)",,
高雄縣,鳳山市,1001201-061,增,,"文福里
(由文德里分割)",,
高雄縣,鳳山市,1001201-062,增,,"誠信里
(由誠德里分割)",,
高雄縣,鳳山市,1001201-063,增,,"誠智里
(由誠德里分割)",,
高雄縣,鳳山市,1001201-064,增,,"國富里
（由國光里及國隆里分割）",,
高雄縣,鳳山市,1001201-065,增,,"武慶里
(由武漢里分割)",,
高雄縣,鳳山市,1001201-066,增,,"海洋里
(由新富里分割)",,
高雄縣,鳳山市,1001201-067,增,,"新武里
(由新甲里分割)",,
高雄縣,鳳山市,1001201-068,增,,"新樂里
(由新甲里分割)",,
高雄縣,鳳山市,1001201-069,增,,"新泰里
(由新甲里分割)",,
高雄縣,鳳山市,1001201-070,增,,"中崙里
(由老爺里分割)",,
高雄縣,鳳山市,1001201-071,增,,"中榮里
(由老爺里分割)",,
高雄縣,鳳山市,1001201-072,增,,"中民里
(由老爺里分割)",,
高雄縣,鳳山市,1001201-073,增,,"二甲里
(由一甲里分割)",,
高雄縣,鳳山市,1001201-074,增,,"龍成里
(由鎮南里分割)",,
高雄縣,鳳山市,1001201-075,增,,"富榮里
(由富甲里分割)",,
高雄縣,鳳山市,1001201-076,增,,"善美里
(由富甲里分割)",,
高雄縣,鳳山市,1001201-077,增,,"南和里
(由南成里分割)",,
高雄縣,鳳山市,1001201-078,增,,"福祥里
(由福誠里分割)",,
高雄縣,林園鄉,1001202-020,增,,"仁愛村
(由林園村分割)",,
高雄縣,林園鄉,1001202-021,增,,"文賢村
(由東林村分割)",,
高雄縣,林園鄉,1001202-022,增,,"廣應村
(由王公村分割)",,
高雄縣,林園鄉,1001202-023,增,,"五福村
(由溪州村分割)",,
高雄縣,林園鄉,1001202-024,增,,"中汕村
(由北汕村分割)",,
高雄縣,大社鄉,1001205-009,增,,"保安村
(由大社村分割)",,
高雄縣,仁武鄉,1001206-012,增,,"中華村
(由竹後村分割)",,
高雄縣,仁武鄉,1001206-013,增,,"五和村
(由八卦村分割)",,
高雄縣,仁武鄉,1001206-014,增,,"仁和村
(由灣內村分割)",,
高雄縣,仁武鄉,1001206-015,增,,"赤山村
(由灣內村分割)",,
高雄縣,仁武鄉,1001206-016,增,,"仁慈村
(由考潭村分割)",,
高雄縣,阿蓮鄉,1001212-003,修,峰山村,峯山村,,
屏東縣,霧臺鄉,1001327-003,修,去露村,吉露村,,
臺東縣,綠島鄉,1001411-001,修,公館村,公舘村,,
花蓮縣,新城鄉,1001504-008,增,,"大漢村
(由北埔村分割)",,
澎湖縣,馬公市,1001601-031,修,蒔裡里,裡里,,
基隆市,中正區,1001701-025,增,,"新豐里
(由碧砂里分割)",,
基隆市,暖暖區,1001703-013,增,,"碇祥里
(由碇和里分割)",,
基隆市,安樂區,1001706-021,增,,"武崙里
(由新崙里分割)",,
基隆市,安樂區,1001706-022,增,,"長樂里
(由五福里分割)",,
基隆市,信義區,1001707-018,增,,"孝賢里
(由孝深里分割)",,
新竹市,"東  區",1001801-052,增,,"湖濱里
(由柴橋里分割)",,
新竹市,"東  區",1001801-053,增,,"明湖里
(由柴橋里分割)",,
新竹市,"北  區",1001802-042,增,,"湳中里
(由湳雅里分割)",,
新竹市,"北  區",1001802-043,增,,"金雅里
(由湳雅里分割)",,
新竹市,"北  區",1001802-044,增,,"台溪里
(由曲溪里分割)",,
新竹市,香山區,1001803-024,增,,"頂福里
(由頂埔里分割)",,
臺南市,"北  區",1002104-004,修,富臺里,富台里,,
臺南市,安南區,1002106-049,增,,"國安里
(由溪東里分割)",,
臺南市,安南區,1002106-050,增,,"安富里
(由溪東里分割)",,
臺南市,安平區,1002107-011,增,,"建平里
(由校前里分割)",,
臺南市,安平區,1002107-012,增,,"怡平里
(由校前里分割)",,
臺南市,安平區,1002107-013,增,,"華平里
(由校前里分割)",,
臺南市,安平區,1002107-014,增,,"平通里
(由校前里分割)",,
臺南市,安平區,1002107-015,增,,"文平里
(由校前里分割)",,
臺南市,安平區,1002107-016,增,,"國平里
(由校前里分割)",,
臺南市,安平區,1002107-017,增,,"育平里
(由校前里分割)",,
臺南市,安平區,1002107-018,增,,"億載里
(由金城里分割)",,
高雄市,前鎮區,6400900-026,刪,"君毅里
（併入建隆里）",,,
高雄市,前鎮區,6400900-027,刪,"壯勇里
（併入建隆里）",,,
連江縣,北竿鄉,0900702-001,修,塘歧村,塘岐村,85.5-86.4,
金門縣,列嶼鄉,0902005-001,修,上歧村,上岐村,,
臺北縣,土城市,1000113-017,修,峰廷里,峯廷里,,
苗栗縣,苑裡鎮,1000502-014,修,山腳里,山脚里,,
苗栗縣,苑裡鎮,1000502-021,修,上館里,上舘里,,
苗栗縣,公館鄉,1000509-007,修,石牆村,石墻村,,
苗栗縣,三義鄉,1000513-002,修,雙湖村,双湖村,,
苗栗縣,三義鄉,1000513-003,修,雙潭村,双潭村,,
彰化縣,員林鎮,1000710-030,修,大峰里,大峯里,,
彰化縣,二水鄉,1000718-002,修,上豐村,上豊村,,
雲林縣,斗六市,1000901-015,修,溝壩里,溝埧里,,
雲林縣,斗六市,1000901-018,修,崙峰里,崙峯里,,
臺南縣,後壁鄉,1001105-007,修,菁豐村,菁豊村,,
臺南縣,西港鄉,1001114-004,修,檨林村,林村,,
臺南縣,七股鄉,1001115-007,修,鹽埕村,塩埕村,,
臺南縣,永康市,1001131-010,修,鹽行里,塩行里,,
臺南縣,永康市,1001131-029,修,鹽洲里,塩洲里,,
臺東縣,達仁鄉,1001415-001,修,臺坂村,台坂村,,
臺南市,"中  區",1002105-019,修,赤崁里,赤嵌里,,
臺南市,安南區,1002106-003,修,塭南里,南里,,
臺南市,安南區,1002106-024,修,公塭里,公里,85.5-86.4,臺中縣太平鄉自85年8月1日起改制為縣轄市。
臺北縣,瑞芳鎮,1000112-007,修,爪峰里,爪峯里,85.5-86.4,
臺北縣,瑞芳鎮,1000112-027,修,濂新里,濓新里,,
臺北縣,瑞芳鎮,1000112-028,修,濂洞里,濓洞里,,
新竹縣,竹東鎮,1000402-006,修,上館里,上舘里,,
新竹縣,竹東鎮,1000402-012,修,雞林里,鷄林里,,
臺中縣,大安鄉,1000614-004,修,龜壳村,龜村,,
彰化縣,埔心鄉,1000715-012,修,舊館村,舊舘村,,
彰化縣,埔心鄉,1000715-013,修,南館村,南舘村,,
彰化縣,埔心鄉,1000715-014,修,新館村,新舘村,,
彰化縣,埔心鄉,1000715-020,修,埤腳村,埤脚村,,
彰化縣,埤頭鄉,1000722-001,修,和豐村,和豊村,,
彰化縣,埤頭鄉,1000722-004,修,豐崙村,豊崙村,,
彰化縣,埤頭鄉,1000722-006,修,永豐村,永豊村,,
雲林縣,二崙鄉,1000911-005,修,湳仔村,南興村,,
嘉義縣,朴子市,1001002-012,修,雙溪里,双溪里,,
嘉義縣,民雄鄉,1001005-012,修,豐收村,豊收村,,
嘉義縣,民雄鄉,1001005-023,修,雙福村,双福村,,
嘉義縣,鹿草鄉,1001011-005,修,豐稠村,豊稠村,,
嘉義縣,中埔鄉,1001013-002,修,鹽館村,塩館村,,
嘉義縣,竹崎鄉,1001014-018,修,文峰村,文峯村,,
嘉義縣,梅山鄉,1001015-010,修,雙溪村,双溪村,,
嘉義縣,梅山鄉,1001015-015,修,瑞峰村,瑞峯村,,
臺南縣,新市鄉,1001120-005,修,豐華村,豊華村,,
臺南縣,山上鄉,1001122-005,修,玉峰村,玉峯村,,
高雄縣,林園鎮,1001202-003,修,溪洲村,溪州村,,
高雄縣,大樹鄉,1001204-018,修,鐘鈴村,統嶺村,,
高雄縣,湖內鄉,1001214-004,修,公館村,公舘村,,
高雄縣,內門鄉,1001224-008,修,內豐村,內豊村,,
屏東縣,萬丹鄉,1001305-012,修,廈北村,厦北村,,
屏東縣,萬丹鄉,1001305-013,修,廈南村,厦南村,,
屏東縣,林邊鄉,1001319-007,修,崎峰村,崎峯村,,
臺中市,"西  區",1001904-013,修,公館里,公舘里,,
臺中市,"北  區",1001905-028,修,錦州里,錦洲里,,
臺南市,安南區,1002106-019,修,鹽田里,塩田里,,
