五都改制對照表在:,http://www.moi.gov.tw/chi/chi_news/news_detail.aspx?sn=4547&type_code=01,,,,,'日期（民國年被翻成西元年，應修正）,
county,town,vid,action,old,new,date,其他備註
嘉義市,東區,1002001-040,刪,"東平里
（併入中山里）",,,
嘉義市,西區,1002002-056,增,,"永和里
（由菜園里分割並合併集英里及力行里）",,
嘉義市,西區,1002002-057,增,,"新富里
（由學圃里及書院里分割並合併福松里）",,
嘉義市,西區,1002002-058,增,,"文化里
（由東區府路里分割並合併中庸里及大業里）",,
嘉義市,西區,1002002-059,增,,"西榮里
（由自治里及學圃里分割並合併功科里、康莊里及義昌里）",,
嘉義市,西區,1002002-060,增,,"國華里
（由北杏里及榮檜里合併）",,
嘉義市,西區,1002002-061,增,,"番社里
（由民生里、慶昇里、通運里及社內里合併）",,
嘉義市,西區,1002002-062,增,,"導明里
（由導民里及華明里分割）",,
嘉義市,西區,1002002-063,增,,"慶安里
（由長安里及北榮里分割並合併慶昌里）",,
嘉義市,西區,1002002-064,增,,"後驛里
（由竹文里、重興里及竹圍里分割並合併小湖里）",,
嘉義市,西區,1002002-065,增,,"福安里
（由福全里及保安里分割）",,
嘉義市,西區,1002002-066,增,,"獅子里
（由湖內里分割）",,
嘉義市,西區,1002002-067,增,,"紅瓦里
（由湖內里分割）",,
嘉義市,西區,1002002-068,增,,"保福里
（由保安里分割）",,
嘉義市,西區,1002002-069,增,,"保生里
（由保安里分割）",,
嘉義市,西區,1002002-070,增,,"北新里
（由東區荖藤里、北湖里、保安里、湖邊里及新厝里分割）",,
嘉義市,西區,1002002-004,刪,"長安里
（併入慶安里及北榮里）",,,
嘉義市,西區,1002002-006,刪,"竹文里
（併入後驛里及竹圍里）",,,
嘉義市,西區,1002002-007,刪,"慶昌里
（併入慶安里）",,,
嘉義市,西區,1002002-008,刪,"小湖里
（併入後驛里）",,,
嘉義市,西區,1002002-023,刪,"力行里
（併入永和里）",,,
嘉義市,西區,1002002-024,刪,"菜園里
（併入書院里及永和里）",,,
嘉義市,西區,1002002-025,刪,"集英里
（併入永和里）",,,
嘉義市,西區,1002002-026,刪,"驛站里
（併入書院里）",,,
嘉義市,西區,1002002-027,刪,"義昌里
（併入西榮里）",,,
嘉義市,西區,1002002-028,刪,"自治里
（併入書院里及西榮里）",,,
嘉義市,西區,1002002-029,刪,"福松里
（併入新富里）",,,
嘉義市,西區,1002002-030,刪,"民安里
（併入書院里）",,,
嘉義市,西區,1002002-032,刪,"學圃里
（併入新富里及西榮里）",,,
嘉義市,西區,1002002-033,刪,"大業里
（併入文化里）",,,
嘉義市,西區,1002002-034,刪,"中庸里
（併入文化里）",,,
嘉義市,西區,1002002-035,刪,"康莊里
（併入西榮里）",,,
嘉義市,西區,1002002-036,刪,"功科里
（併入西榮里）",,,
