tid,vid,tname,vname,otid,ovid,otname,ovname
64000052,005,高雄市三民區第二,鼎西里,64000052,005,高雄市三民區第二,鼎西里
64000052,006,高雄市三民區第二,鼎中里,64000052,006,高雄市三民區第二,鼎中里
64000052,007,高雄市三民區第二,鼎泰里,64000052,007,高雄市三民區第二,鼎泰里
64000052,008,高雄市三民區第二,本館里,64000052,008,高雄市三民區第二,本館里
64000052,009,高雄市三民區第二,本和里,64000052,009,高雄市三民區第二,本和里
64000052,010,高雄市三民區第二,本文里,64000052,010,高雄市三民區第二,本文里
64000052,011,高雄市三民區第二,本武里,64000052,011,高雄市三民區第二,本武里
64000052,012,高雄市三民區第二,本元里,64000052,012,高雄市三民區第二,本元里
64000052,013,高雄市三民區第二,本安里,64000052,013,高雄市三民區第二,本安里
64000052,014,高雄市三民區第二,本上里,64000052,014,高雄市三民區第二,本上里
64000052,015,高雄市三民區第二,本揚里,64000052,015,高雄市三民區第二,本揚里
64000052,016,高雄市三民區第二,寶獅里,64000052,016,高雄市三民區第二,寶獅里
64000052,017,高雄市三民區第二,寶德里,64000052,017,高雄市三民區第二,寶德里
64000052,018,高雄市三民區第二,寶泰里,64000052,018,高雄市三民區第二,寶泰里
64000052,019,高雄市三民區第二,寶興里,64000052,019,高雄市三民區第二,寶興里
64000052,020,高雄市三民區第二,寶中里,64000052,020,高雄市三民區第二,寶中里
64000052,021,高雄市三民區第二,寶華里,64000052,021,高雄市三民區第二,寶華里
64000052,022,高雄市三民區第二,寶國里,64000052,022,高雄市三民區第二,寶國里
64000052,023,高雄市三民區第二,寶民里,64000052,023,高雄市三民區第二,寶民里
64000052,024,高雄市三民區第二,寶慶里,64000052,024,高雄市三民區第二,寶慶里
64000052,025,高雄市三民區第二,寶業里,64000052,025,高雄市三民區第二,寶業里
64000052,026,高雄市三民區第二,寶盛里,64000052,026,高雄市三民區第二,寶盛里
64000052,027,高雄市三民區第二,寶安里,64000052,027,高雄市三民區第二,寶安里
64000052,028,高雄市三民區第二,寶龍里,64000052,028,高雄市三民區第二,寶龍里
64000052,029,高雄市三民區第二,寶珠里,64000052,029,高雄市三民區第二,寶珠里
64000052,030,高雄市三民區第二,寶玉里,64000052,030,高雄市三民區第二,寶玉里
64000052,031,高雄市三民區第二,灣子里,64000052,031,高雄市三民區第二,灣子里
64000052,032,高雄市三民區第二,灣愛里,64000052,032,高雄市三民區第二,灣愛里
64000052,033,高雄市三民區第二,灣中里,64000052,033,高雄市三民區第二,灣中里
64000052,034,高雄市三民區第二,灣華里,64000052,034,高雄市三民區第二,灣華里
64000052,035,高雄市三民區第二,灣勝里,64000052,035,高雄市三民區第二,灣勝里
64000052,036,高雄市三民區第二,灣利里,64000052,036,高雄市三民區第二,灣利里
64000052,037,高雄市三民區第二,灣復里,64000052,037,高雄市三民區第二,灣復里
64000052,038,高雄市三民區第二,正興里,64000052,038,高雄市三民區第二,正興里
64000052,039,高雄市三民區第二,正順里,64000052,039,高雄市三民區第二,正順里
64000052,040,高雄市三民區第二,灣興里,64000052,040,高雄市三民區第二,灣興里
64000052,041,高雄市三民區第二,灣成里,64000052,041,高雄市三民區第二,灣成里
64000052,042,高雄市三民區第二,安康里,64000052,042,高雄市三民區第二,安康里
64000052,043,高雄市三民區第二,安寧里,64000052,043,高雄市三民區第二,安寧里
64000052,044,高雄市三民區第二,安吉里,64000052,044,高雄市三民區第二,安吉里
64000052,045,高雄市三民區第二,安發里,64000052,045,高雄市三民區第二,安發里
,,,,,,,
64000060,001,高雄市新興區,浩然里,64000060,001,高雄市新興區,浩然里
64000060,002,高雄市新興區,振成里,64000060,002,高雄市新興區,振成里
64000060,003,高雄市新興區,德生里,64000060,003,高雄市新興區,德生里
64000060,004,高雄市新興區,振華里,64000060,004,高雄市新興區,振華里
64000060,005,高雄市新興區,正氣里,64000060,005,高雄市新興區,正氣里
64000060,006,高雄市新興區,德政里,64000060,006,高雄市新興區,德政里
64000060,007,高雄市新興區,仁聲里,64000060,007,高雄市新興區,仁聲里
64000060,008,高雄市新興區,德望里,64000060,008,高雄市新興區,德望里
64000060,009,高雄市新興區,華聲里,64000060,009,高雄市新興區,華聲里
64000060,010,高雄市新興區,蕉園里,64000060,010,高雄市新興區,蕉園里
64000060,011,高雄市新興區,永寧里,64000060,011,高雄市新興區,永寧里
64000060,012,高雄市新興區,玉衡里,64000060,012,高雄市新興區,玉衡里
64000060,013,高雄市新興區,順昌里,64000060,013,高雄市新興區,順昌里
64000060,014,高雄市新興區,文昌里,64000060,014,高雄市新興區,文昌里
64000060,015,高雄市新興區,光耀里,64000060,015,高雄市新興區,光耀里
64000060,016,高雄市新興區,興昌里,64000060,016,高雄市新興區,興昌里
64000060,017,高雄市新興區,開平里,64000060,017,高雄市新興區,開平里
64000060,018,高雄市新興區,成功里,64000060,018,高雄市新興區,成功里
64000060,019,高雄市新興區,新江里,64000060,019,高雄市新興區,新江里
64000060,020,高雄市新興區,黎明里,64000060,020,高雄市新興區,黎明里
64000060,021,高雄市新興區,愛平里,64000060,021,高雄市新興區,愛平里
64000060,022,高雄市新興區,南港里,64000060,022,高雄市新興區,南港里
64000060,023,高雄市新興區,中東里,64000060,023,高雄市新興區,中東里
64000060,024,高雄市新興區,明莊里,64000060,024,高雄市新興區,明莊里
64000060,025,高雄市新興區,大明里,64000060,025,高雄市新興區,大明里
64000060,026,高雄市新興區,秋山里,64000060,026,高雄市新興區,秋山里
64000060,027,高雄市新興區,長驛里,64000060,027,高雄市新興區,長驛里
64000060,028,高雄市新興區,建興里,64000060,028,高雄市新興區,建興里
64000060,029,高雄市新興區,建華里,64000060,029,高雄市新興區,建華里
64000060,030,高雄市新興區,漢民里,64000060,030,高雄市新興區,漢民里
64000060,031,高雄市新興區,榮治里,64000060,031,高雄市新興區,榮治里
64000060,032,高雄市新興區,東坡里,64000060,032,高雄市新興區,東坡里
,,,,,,,
64000070,001,高雄市前金區,三川里,64000070,001,高雄市前金區,三川里
64000070,002,高雄市前金區,草江里,64000070,002,高雄市前金區,草江里
64000070,003,高雄市前金區,長城里,64000070,003,高雄市前金區,長城里
64000070,004,高雄市前金區,北金里,64000070,004,高雄市前金區,北金里
64000070,005,高雄市前金區,東金里,64000070,005,高雄市前金區,東金里
64000070,006,高雄市前金區,新生里,64000070,006,高雄市前金區,新生里
64000070,007,高雄市前金區,後金里,64000070,007,高雄市前金區,後金里
64000070,008,高雄市前金區,長興里,64000070,008,高雄市前金區,長興里
64000070,009,高雄市前金區,青山里,64000070,009,高雄市前金區,青山里
64000070,010,高雄市前金區,民生里,64000070,010,高雄市前金區,民生里
64000070,011,高雄市前金區,復元里,64000070,011,高雄市前金區,復元里
64000070,012,高雄市前金區,林投里,64000070,012,高雄市前金區,林投里
64000070,013,高雄市前金區,國民里,64000070,013,高雄市前金區,國民里
64000070,014,高雄市前金區,社東里,64000070,014,高雄市前金區,社東里
64000070,015,高雄市前金區,社西里,64000070,015,高雄市前金區,社西里
64000070,016,高雄市前金區,博孝里,64000070,016,高雄市前金區,博孝里
64000070,017,高雄市前金區,長生里,64000070,017,高雄市前金區,長生里
64000070,018,高雄市前金區,榮復里,64000070,018,高雄市前金區,榮復里
64000070,019,高雄市前金區,文西里,64000070,019,高雄市前金區,文西里
64000070,020,高雄市前金區,文東里,64000070,020,高雄市前金區,文東里
,,,,,,,
64000080,001,高雄市苓雅區,博仁里,64000080,001,高雄市苓雅區,博仁里
64000080,002,高雄市苓雅區,苓洲里,64000080,002,高雄市苓雅區,苓洲里
64000080,003,高雄市苓雅區,苓昇里,64000080,003,高雄市苓雅區,苓昇里
64000080,004,高雄市苓雅區,苓中里,64000080,004,高雄市苓雅區,苓中里
64000080,005,高雄市苓雅區,苓雅里,64000080,005,高雄市苓雅區,苓雅里
64000080,006,高雄市苓雅區,苓東里,64000080,006,高雄市苓雅區,苓東里
64000080,007,高雄市苓雅區,城北里,64000080,007,高雄市苓雅區,城北里
64000080,008,高雄市苓雅區,城西里,64000080,008,高雄市苓雅區,城西里
64000080,009,高雄市苓雅區,城東里,64000080,009,高雄市苓雅區,城東里
64000080,010,高雄市苓雅區,意誠里,64000080,010,高雄市苓雅區,意誠里
64000080,011,高雄市苓雅區,鼓中里,64000080,011,高雄市苓雅區,鼓中里
64000080,012,高雄市苓雅區,田西里,64000080,012,高雄市苓雅區,田西里
64000080,013,高雄市苓雅區,人和里,64000080,013,高雄市苓雅區,人和里
64000080,014,高雄市苓雅區,仁政里,64000080,014,高雄市苓雅區,仁政里
64000080,015,高雄市苓雅區,廣澤里,64000080,015,高雄市苓雅區,廣澤里
64000080,016,高雄市苓雅區,美田里,64000080,016,高雄市苓雅區,美田里
64000080,017,高雄市苓雅區,華堂里,64000080,017,高雄市苓雅區,華堂里
64000080,018,高雄市苓雅區,日中里,64000080,018,高雄市苓雅區,日中里
64000080,019,高雄市苓雅區,普照里,64000080,019,高雄市苓雅區,普照里
64000080,020,高雄市苓雅區,和煦里,64000080,020,高雄市苓雅區,和煦里
64000080,021,高雄市苓雅區,晴朗里,64000080,021,高雄市苓雅區,晴朗里
64000080,022,高雄市苓雅區,普天里,64000080,022,高雄市苓雅區,普天里
64000080,023,高雄市苓雅區,林富里,64000080,023,高雄市苓雅區,林富里
64000080,024,高雄市苓雅區,林圍里,64000080,024,高雄市苓雅區,林圍里
64000080,025,高雄市苓雅區,林安里,64000080,025,高雄市苓雅區,林安里
64000080,026,高雄市苓雅區,光華里,64000080,026,高雄市苓雅區,光華里
64000080,027,高雄市苓雅區,林興里,64000080,027,高雄市苓雅區,林興里
64000080,028,高雄市苓雅區,林華里,64000080,028,高雄市苓雅區,林華里
64000080,029,高雄市苓雅區,林西里,64000080,029,高雄市苓雅區,林西里
64000080,030,高雄市苓雅區,林中里,64000080,030,高雄市苓雅區,林中里
64000080,031,高雄市苓雅區,林泉里,64000080,031,高雄市苓雅區,林泉里
64000080,032,高雄市苓雅區,林南里,64000080,032,高雄市苓雅區,林南里
64000080,033,高雄市苓雅區,中正里,64000080,033,高雄市苓雅區,中正里
64000080,034,高雄市苓雅區,尚義里,64000080,034,高雄市苓雅區,尚義里
64000080,035,高雄市苓雅區,同慶里,64000080,035,高雄市苓雅區,同慶里
64000080,036,高雄市苓雅區,凱旋里,64000080,036,高雄市苓雅區,凱旋里
64000080,037,高雄市苓雅區,安祥里,64000080,037,高雄市苓雅區,安祥里
64000080,038,高雄市苓雅區,奏捷里,64000080,038,高雄市苓雅區,奏捷里
64000080,039,高雄市苓雅區,福壽里,64000080,039,高雄市苓雅區,福壽里
64000080,040,高雄市苓雅區,福南里,64000080,040,高雄市苓雅區,福南里
64000080,041,高雄市苓雅區,五權里,64000080,041,高雄市苓雅區,五權里
64000080,042,高雄市苓雅區,民主里,64000080,042,高雄市苓雅區,民主里
64000080,043,高雄市苓雅區,林德里,64000080,043,高雄市苓雅區,林德里
64000080,044,高雄市苓雅區,林貴里,64000080,044,高雄市苓雅區,林貴里
64000080,045,高雄市苓雅區,林榮里,64000080,045,高雄市苓雅區,林榮里
64000080,046,高雄市苓雅區,英明里,64000080,046,高雄市苓雅區,英明里
64000080,047,高雄市苓雅區,林靖里,64000080,047,高雄市苓雅區,林靖里
64000080,048,高雄市苓雅區,朝陽里,64000080,048,高雄市苓雅區,朝陽里
64000080,049,高雄市苓雅區,福隆里,64000080,049,高雄市苓雅區,福隆里
64000080,050,高雄市苓雅區,福祥里,64000080,050,高雄市苓雅區,福祥里
64000080,051,高雄市苓雅區,福海里,64000080,051,高雄市苓雅區,福海里
64000080,052,高雄市苓雅區,福康里,64000080,052,高雄市苓雅區,福康里
64000080,053,高雄市苓雅區,福人里,64000080,053,高雄市苓雅區,福人里
64000080,054,高雄市苓雅區,福地里,64000080,054,高雄市苓雅區,福地里
64000080,055,高雄市苓雅區,福居里,64000080,055,高雄市苓雅區,福居里
64000080,056,高雄市苓雅區,福東里,64000080,056,高雄市苓雅區,福東里
64000080,057,高雄市苓雅區,福西里,64000080,057,高雄市苓雅區,福西里
64000080,058,高雄市苓雅區,永康里,64000080,058,高雄市苓雅區,永康里
64000080,059,高雄市苓雅區,正文里,64000080,059,高雄市苓雅區,正文里
64000080,060,高雄市苓雅區,正言里,64000080,060,高雄市苓雅區,正言里
64000080,061,高雄市苓雅區,正大里,64000080,061,高雄市苓雅區,正大里
64000080,062,高雄市苓雅區,五福里,64000080,062,高雄市苓雅區,五福里
64000080,063,高雄市苓雅區,正心里,64000080,063,高雄市苓雅區,正心里
64000080,064,高雄市苓雅區,正道里,64000080,064,高雄市苓雅區,正道里
64000080,065,高雄市苓雅區,正義里,64000080,065,高雄市苓雅區,正義里
64000080,066,高雄市苓雅區,正仁里,64000080,066,高雄市苓雅區,正仁里
64000080,067,高雄市苓雅區,文昌里,64000080,067,高雄市苓雅區,文昌里
